Rk,Player,Age,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-
46,Desmond Acquah,22,13,231,2.6,0,13,11,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.2,0.1,0.0,0.0,-0.1,0.05,1,0.00,0.00,1,100.0,17.1,0,1,0.00,0.00,1,100.0,17.1,0,57,84,67.9,2,6,2,0,15,925,353,28,35,80.0,22,32,68.8,5,10,50.0,8,6,0,0,1,0,1,0,0,0,0,0,0,0,94,519,199,3,1,1,15,12,84,16,84,16,94,519,199,3,1,1,15,12,142,5,28,67,50,9,142,MFDF,7219fc4f
47,Gilberto Adame,19,12,417,4.6,3,9,4,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,0.4,0.5,-0.2,-0.2,-0.2,0.05,5,0.00,0.00,1,20.0,24.9,0,5,0.00,0.00,1,20.0,24.9,0,96,147,65.3,5,10,5,3,13,1562,571,50,65,76.9,38,49,77.6,7,22,31.8,9,5,2,1,0,1,0,0,0,0,0,0,0,0,111,739,351,17,8,3,17,7,124,33,124,33,111,739,351,17,8,3,17,7,214,14,60,64,91,8,214,DFMF,b366fe11
48,Emanuele Adamo,26,37,2331,25.9,25,12,1,2,0,2,2,0,0,0,2.0,2.0,0.9,2.9,1.5,2.9,0.0,0.0,-0.9,0.06,36,0.06,0.13,15,41.7,20.0,0,36,0.06,0.13,15,41.7,20.0,0,766,996,76.9,18,58,21,6,72,11808,3826,430,494,87.0,262,333,78.7,50,98,51.0,66,47,7,3,4,5,0,7,5,1,0,1,0,0,637,4306,2180,60,35,10,45,20,777,123,777,123,637,4306,2180,60,35,10,45,20,1303,63,358,573,402,47,1303,DFMF,45668d20
49,Akor Adams,24,20,1270,14.1,15,5,1,3,1,4,3,0,0,0,4.7,4.7,1.0,,0.2,5.7,-1.7,-1.7,0.0,0.17,30,0.10,0.21,14,46.7,13.9,0,30,0.10,0.21,14,46.7,13.9,0,132,206,64.1,12,11,1,0,11,1874,246,81,113,71.7,39,58,67.2,6,15,40.0,25,18,0,4,1,2,0,5,2,0,1,0,2,0,131,679,279,11,5,7,18,14,194,50,194,50,131,679,279,11,5,7,18,14,285,6,23,136,129,50,285,FW,2ccd39ed
50,Che Adams,28,38,2768,30.8,31,7,1,10,4,14,10,0,1,1,9.0,8.2,2.0,,2.9,10.2,0.0,+0.8,+2.0,0.13,65,0.15,0.38,26,40.0,15.7,0,65,0.15,0.38,26,40.0,15.7,0,414,557,74.3,26,32,7,0,40,6531,1184,221,283,78.1,134,168,79.8,37,53,69.8,63,49,1,0,8,5,0,5,4,0,0,1,0,0,509,2066,702,23,18,9,63,34,630,153,630,153,509,2066,702,23,18,9,63,34,802,19,53,387,371,104,801,FW,f2bf1b0f
51,Ebou Adams,28,46,3954,43.9,43,3,0,6,1,7,6,0,0,0,5.0,5.0,1.9,,1.4,6.9,+1.0,+1.0,-0.9,0.10,53,0.11,0.55,11,20.8,17.5,0,53,0.11,0.55,11,20.8,17.5,0,914,1296,70.5,18,101,19,4,131,16733,4113,370,469,78.9,411,537,76.5,114,193,59.1,58,39,0,0,5,13,1,4,2,0,0,1,1,0,741,3554,1457,27,24,5,71,41,850,77,850,77,741,3554,1457,27,24,5,71,41,1855,92,436,1041,411,68,1855,DFMF,84d7ae33
52,Tyler Adams,25,32,2353,26.1,25,7,1,0,3,3,0,0,0,0,1.6,1.6,1.0,,0.8,2.6,-1.6,-1.6,+2.0,0.18,11,0.00,0.00,2,18.2,16.9,0,11,0.00,0.00,2,18.2,16.9,0,902,1069,84.4,18,67,4,1,76,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,41,35,0,0,1,1,4,4,3,0,0,0,0,1,663,3337,1447,14,22,1,28,12,757,10,757,10,663,3337,1447,14,22,1,28,12,1337,62,349,779,224,18,1337,MF,2b09d998
53,Junior Adamu,23,27,1658,18.4,20,7,5,4,2,6,4,0,0,0,5.5,5.5,2.4,7.9,1.9,7.9,-3.5,-3.5,-0.4,0.16,43,0.09,0.31,13,30.2,12.4,0,43,0.09,0.31,13,30.2,12.4,0,198,312,63.5,17,7,8,0,14,2376,316,124,180,68.9,48,70,68.6,2,6,33.3,29,22,0,1,3,3,0,3,2,0,0,1,0,0,275,1026,349,8,5,4,59,24,350,84,350,84,275,1026,349,8,5,4,59,24,534,21,53,252,234,80,534,FW,82e12fe7
54,Tosin Adarabioyo,26,35,2534,28.2,28,7,19,4,1,5,4,0,0,0,1.4,1.4,0.6,1.2,0.7,2.0,+0.6,+0.6,+0.4,0.08,19,0.21,1.00,4,21.1,12.7,0,19,0.21,1.00,4,21.1,12.7,0,2104,2253,93.4,3,104,5,0,81,37781,13830,800,825,97.0,1181,1231,95.9,114,171,66.7,27,20,0,0,6,0,1,4,3,0,0,1,0,0,1591,6156,3451,7,7,1,8,0,1970,1,1970,1,1591,6156,3451,7,7,1,8,0,2463,292,1098,1313,54,25,2463,DF,c81d773d
55,Emmanuel Addai,22,8,162,1.8,1,7,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.2,0.5,-0.3,-0.3,-0.2,0.07,4,0.00,0.00,1,25.0,24.3,0,4,0.00,0.00,1,25.0,24.3,0,55,70,78.6,3,4,3,1,9,874,242,29,33,87.9,18,23,78.3,6,10,60.0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,82,476,166,5,9,1,10,6,88,18,88,18,82,476,166,5,9,1,10,6,109,2,5,32,74,8,109,FWMF,e0764d9d
56,Jayden Addai,18,32,1476,16.4,17,15,11,8,3,11,7,1,1,0,1.1,1.1,0.4,0.1,1.0,1.5,-0.1,-0.1,+2.6,0.07,65,0.11,0.32,22,33.8,18.1,0,65,0.11,0.32,22,33.8,18.1,0,129,184,70.1,5,8,13,2,21,1783,527,79,101,78.2,42,55,76.4,4,10,40.0,27,12,0,7,2,6,0,3,1,0,0,0,2,0,198,1568,830,29,18,19,21,15,214,65,214,65,198,1568,830,29,18,19,21,15,297,5,37,120,148,31,297,FW,662ffe3d
57,Henry Addo,21,7,112,1.2,0,7,1,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,0.0,0.3,-0.2,-0.2,0.0,0.12,2,0.00,0.00,1,50.0,23.1,0,2,0.00,0.00,1,50.0,23.1,0,32,37,86.5,1,3,0,0,1,447,37,20,21,95.2,12,14,85.7,0,1,0.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,37,200,109,4,2,0,5,1,41,18,41,18,37,200,109,4,2,0,5,1,52,0,6,14,32,0,52,FW,e2ff6d17
58,Elijah Adebayo,26,41,2537,28.2,32,9,1,5,0,5,5,0,0,0,12.8,12.8,1.1,13.9,1.1,13.9,-7.8,-7.8,-1.1,0.19,73,0.07,0.16,31,42.5,11.1,0,73,0.07,0.16,31,42.5,11.1,0,219,313,70.0,16,8,10,1,20,2853,423,144,186,77.4,56,78,71.8,6,9,66.7,53,30,1,6,12,4,0,5,2,0,2,1,0,0,401,2234,704,31,22,23,88,49,458,144,458,144,401,2234,704,31,22,23,88,49,714,48,100,207,427,159,714,FW,0480ebc7
59,Noah Adedeji,19,26,738,8.2,8,18,4,3,4,7,3,0,0,0,3.0,3.0,1.7,,1.6,4.7,0.0,0.0,+2.3,0.17,21,0.14,0.30,10,47.6,15.2,0,21,0.14,0.30,10,47.6,15.2,0,198,242,81.8,13,8,7,3,16,2969,630,112,123,91.1,64,81,79.0,12,19,63.2,28,20,1,3,1,1,2,5,4,0,0,1,0,0,256,1991,948,35,18,19,20,11,238,58,238,58,256,1991,948,35,18,19,20,11,365,4,47,144,184,44,365,MF,9962d6f7
60,Farouck Adekami,17,3,129,1.4,1,2,11,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.1,0.4,-0.2,-0.2,-0.1,0.05,5,0.00,0.00,2,40.0,11.8,0,5,0.00,0.00,2,40.0,11.8,0,36,44,81.8,1,3,1,0,2,555,94,16,20,80.0,15,16,93.8,2,3,66.7,9,5,0,1,3,0,0,0,0,0,0,0,0,0,49,353,110,3,3,1,5,5,48,18,48,18,49,353,110,3,3,1,5,5,73,2,12,33,28,10,73,FWMF,66ff36d9
61,Bobby Adekanye,25,13,778,8.6,10,3,3,1,0,1,1,0,0,0,1.3,1.3,0.9,2.2,0.7,2.2,-0.3,-0.3,-0.9,0.07,18,0.06,0.20,5,27.8,17.2,0,18,0.06,0.20,5,27.8,17.2,0,147,214,68.7,7,11,17,8,22,2389,636,82,105,78.1,49,66,74.2,13,31,41.9,23,17,1,1,2,2,0,1,1,0,0,0,0,0,201,1634,859,31,14,12,16,12,214,60,214,60,201,1634,859,31,14,12,16,12,304,11,37,99,174,36,304,FWMF,3ed84b2c
62,Aske Adelgaard,20,22,1224,13.6,14,8,8,0,1,1,0,0,0,0,0.3,0.3,1.3,1.6,1.3,1.6,-0.3,-0.3,-0.3,0.06,5,0.00,0.00,1,20.0,21.0,0,5,0.00,0.00,1,20.0,21.0,0,512,676,75.7,15,32,11,3,39,8446,2959,271,307,88.3,188,237,79.3,41,100,41.0,33,18,13,0,1,1,0,3,2,1,0,0,0,0,404,1937,971,25,15,1,16,11,449,61,449,61,404,1937,971,25,15,1,16,11,816,46,274,296,254,10,816,DF,3397a49f
63,Martin Adeline,20,28,1242,13.8,13,15,3,2,2,4,2,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,+2.0,,12,0.17,0.67,3,25.0,,0,12,0.17,0.67,3,25.0,,0,8,10,80.0,0,1,0,0,0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,35,9,1,0,1,0,0,9,1,9,1,6,35,9,1,0,1,0,0,14,2,8,4,2,1,14,FW,7587446d
64,Arijan Ademi,33,24,1118,12.4,16,8,6,3,1,4,3,0,0,0,0.6,0.6,0.3,0.9,0.1,0.9,-0.6,-0.6,+0.7,0.11,23,0.13,0.50,6,26.1,14.6,0,23,0.13,0.50,6,26.1,14.6,0,84,96,87.5,2,6,0,0,9,1161,336,50,55,90.9,28,31,90.3,2,6,33.3,4,3,0,0,1,0,0,1,1,0,0,0,0,0,64,362,170,3,3,1,8,4,82,6,82,6,64,362,170,3,3,1,8,4,132,8,29,67,36,12,132,MF,ee926a02
65,Raymond Adeola,23,4,177,2.0,2,2,0,1,0,1,1,0,0,0,0.8,0.8,0.0,0.8,0.0,0.8,+0.2,+0.2,0.0,0.27,3,0.33,1.00,1,33.3,16.5,0,3,0.33,1.00,1,33.3,16.5,0,12,29,41.4,0,1,0,0,3,171,36,9,15,60.0,3,6,50.0,0,5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,26,90,53,1,2,1,4,2,31,9,31,9,26,90,53,1,2,1,4,2,48,2,7,19,22,5,48,FWMF,f561b636
66,Shawn Adewoye,24,24,1748,19.4,20,4,1,1,0,1,1,0,0,0,1.5,1.5,0.1,1.6,0.3,1.6,-0.5,-0.5,-0.1,0.14,11,0.09,0.33,3,27.3,9.9,0,11,0.09,0.33,3,27.3,9.9,0,712,828,86.0,4,55,2,1,59,14127,4091,217,243,89.3,410,437,93.8,78,131,59.5,16,14,0,0,1,0,1,1,1,0,0,0,0,0,558,2839,1419,13,15,1,13,4,643,0,643,0,558,2839,1419,13,15,1,13,4,1074,163,531,473,73,14,1074,DF,be98fc34
67,Karim Adeyemi,22,36,2186,24.3,27,9,1,12,7,19,12,0,0,0,7.5,7.5,7.6,,4.5,15.1,+4.5,+4.5,-0.6,0.11,70,0.17,0.41,29,41.4,17.6,0,70,0.17,0.41,29,41.4,17.6,0,441,609,72.4,37,16,25,4,41,6462,1338,244,308,79.2,148,179,82.7,24,40,60.0,85,52,1,16,9,4,3,17,9,0,4,2,1,1,622,4676,2384,102,51,56,56,41,677,216,677,216,622,4676,2384,102,51,56,56,41,946,13,87,331,545,132,946,FW,501055d8
68,Simon Adingra,22,33,1416,15.7,15,18,9,5,2,7,5,0,0,0,2.5,2.5,2.5,,2.8,4.9,-0.5,-0.5,-0.5,0.07,41,0.12,0.36,14,34.1,17.0,0,41,0.12,0.36,14,34.1,17.0,0,290,382,75.9,16,5,17,6,18,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,47,33,0,6,8,0,0,7,5,0,1,1,0,0,366,2514,1300,50,21,27,39,12,388,136,388,136,366,2514,1300,50,21,27,39,12,548,10,66,174,315,76,548,DFFW,4dcec659
69,Jakub Adkonis,17,1,10,0.1,0,1,3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,4,6,66.7,1,0,0,0,0,78,3,2,3,66.7,1,1,100.0,1,2,50.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,52,45,2,0,1,0,0,4,2,4,2,4,52,45,2,0,1,0,0,6,0,0,3,3,1,6,MF,716749d5
70,Amine Adli,24,28,1191,13.2,11,17,1,2,1,3,2,0,0,0,2.9,2.9,0.8,,2.1,3.7,-0.9,-0.9,+0.2,0.13,27,0.07,0.20,10,37.0,13.4,0,27,0.07,0.20,10,37.0,13.4,0,332,444,74.8,14,11,19,5,33,4272,941,211,253,83.4,91,123,74.0,9,23,39.1,34,23,0,3,4,4,0,0,0,0,0,0,0,0,297,1710,952,41,26,13,26,10,429,116,429,116,297,1710,952,41,26,13,26,10,575,7,56,195,334,60,575,MFFW,dcfb17f4
71,Yacine Adli,24,34,1635,18.2,19,15,7,5,7,12,5,0,0,0,1.2,1.2,3.5,3.4,2.9,4.7,+3.8,+3.8,+3.5,0.07,17,0.29,0.83,6,35.3,20.7,2,17,0.29,0.83,6,35.3,20.7,2,999,1235,80.9,37,118,22,7,137,19227,6083,414,467,88.7,410,466,88.0,152,248,61.3,77,55,15,2,4,1,0,13,7,3,1,2,0,0,890,5106,2285,32,41,4,22,10,970,36,970,36,890,5106,2285,32,41,4,22,10,1394,37,239,819,350,15,1394,MF,26777636
72,Andrea Adorante,24,33,2586,28.7,31,2,2,15,2,17,14,1,1,0,9.8,9.0,1.1,10.9,1.4,10.1,+5.2,+5.0,+0.9,0.12,72,0.19,0.48,29,40.3,14.6,1,72,0.19,0.48,29,40.3,14.6,1,333,542,61.4,15,32,4,0,48,4268,831,188,277,67.9,90,140,64.3,12,28,42.9,41,23,0,4,10,4,0,6,5,0,0,1,0,0,500,2388,873,32,20,19,83,52,657,129,657,129,500,2388,873,32,20,19,83,52,866,38,87,436,361,110,865,FW,7005ac66
73,Davide Adorni,31,37,3293,36.6,37,0,1,3,0,3,3,0,0,0,3.0,3.0,0.4,,0.5,3.4,0.0,0.0,-0.4,0.11,28,0.11,0.43,7,25.0,11.8,0,28,0.11,0.43,7,25.0,11.8,0,1408,1666,84.5,7,70,6,0,79,31543,12978,322,364,88.5,831,887,93.7,250,388,64.4,26,20,0,0,3,1,2,3,2,0,0,0,1,0,972,4705,2578,11,6,0,10,5,1224,3,1224,3,972,4705,2578,11,6,0,10,5,2039,309,1177,805,63,39,2039,DF,e43cb802
74,Adriano,24,32,2630,29.2,31,1,0,0,2,2,0,0,0,0,1.0,1.0,2.7,3.7,1.5,3.7,-1.0,-1.0,-0.7,0.08,13,0.00,0.00,4,30.8,18.6,0,13,0.00,0.00,4,30.8,18.6,0,1004,1193,84.2,19,106,10,2,99,17150,4413,445,495,89.9,461,525,87.8,73,123,59.3,54,46,0,1,3,1,3,5,4,0,0,1,0,0,758,3758,1738,26,23,1,21,18,945,28,945,28,758,3758,1738,26,23,1,21,18,1418,71,370,868,202,14,1418,MF,81053aea
75,Adryelson,26,10,723,8.0,8,2,4,1,0,1,1,0,0,0,0.4,0.4,0.1,0.4,0.1,0.6,+0.6,+0.6,-0.1,0.06,7,0.14,0.25,4,57.1,13.4,0,7,0.14,0.25,4,57.1,13.4,0,424,495,85.7,2,18,2,0,34,7730,2428,150,172,87.2,248,271,91.5,23,42,54.8,5,4,0,0,1,0,0,0,0,0,0,0,0,0,386,1887,862,4,2,0,3,0,398,2,398,2,386,1887,862,4,2,0,3,0,602,67,270,301,32,11,602,DF,e980e78d
76,Prince Adu Kwabena,20,33,1890,21.0,23,10,5,9,3,12,9,0,0,0,2.5,2.5,0.6,,0.2,3.1,+0.5,+0.5,+2.4,0.11,67,0.12,0.38,21,31.3,16.5,0,67,0.12,0.38,21,31.3,16.5,0,98,138,71.0,3,5,1,0,10,1248,245,63,77,81.8,17,28,60.7,7,9,77.8,20,11,0,3,2,3,1,3,1,0,0,2,0,0,160,1036,426,16,12,15,38,32,193,50,193,50,160,1036,426,16,12,15,38,32,289,2,22,109,167,42,289,FW,36bdd145
77,Michael Adu-Poku,18,21,1451,16.1,17,4,7,1,2,3,1,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,+2.0,,0,,,0,,,0,0,,,0,,,0,0,1,0.0,0,0,0,0,0,0,0,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,11,1,1,0,0,0,1,1,1,1,1,25,11,1,1,0,0,0,1,0,0,0,1,0,1,MFDF,e47141d7
78,Vasilije Adžić,18,8,75,0.8,0,8,23,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,2,0.00,0.00,1,50.0,29.1,0,2,0.00,0.00,1,50.0,29.1,0,23,29,79.3,0,2,1,0,1,399,55,12,14,85.7,8,9,88.9,3,3,100.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,21,79,21,0,1,0,2,1,28,4,28,4,21,79,21,0,1,0,2,1,35,0,5,16,14,3,35,MF,8b0f9fb8
79,Michel Aebischer,27,16,762,8.5,9,7,14,0,0,0,0,0,0,0,0.4,0.4,0.4,,0.6,0.8,-0.4,-0.4,-0.4,0.04,10,0.00,0.00,5,50.0,22.0,1,10,0.00,0.00,5,50.0,22.0,1,376,431,87.2,8,43,5,2,35,6700,1501,171,187,91.4,156,172,90.7,42,54,77.8,19,16,2,0,0,0,1,0,0,0,0,0,0,0,301,1228,508,8,12,2,7,7,357,18,357,18,301,1228,508,8,12,2,7,7,499,11,75,312,117,11,499,MF,f9c927de
80,Olivier Aertssen,19,21,1145,12.7,14,7,2,1,0,1,1,0,0,0,0.6,0.6,0.6,1.2,1.1,1.2,+0.4,+0.4,-0.6,0.10,6,0.17,0.50,2,33.3,17.0,0,6,0.17,0.50,2,33.3,17.0,0,442,572,77.3,6,50,9,3,47,8079,3318,182,212,85.8,211,249,84.7,43,79,54.4,17,11,1,4,0,0,1,4,2,0,1,0,0,1,324,1904,988,13,13,4,18,8,358,19,358,19,324,1904,988,13,13,4,18,8,751,61,277,359,129,11,751,DF,69bff230
81,Oladapo Afolayan,26,34,1767,19.6,18,16,2,3,1,4,3,0,0,0,3.1,3.1,3.8,7.0,3.6,7.0,-0.1,-0.1,-2.8,0.08,40,0.08,0.21,14,35.0,20.4,0,40,0.08,0.21,14,35.0,20.4,0,320,461,69.4,21,23,14,10,32,5556,1270,148,185,80.0,129,165,78.2,35,55,63.6,52,28,0,12,7,5,0,6,3,0,3,0,0,0,495,3452,1392,53,43,28,63,45,555,108,555,108,495,3452,1392,53,43,28,63,45,741,13,84,304,365,62,741,FWMF,5054c359
82,Lucas Áfrico,29,21,1757,19.5,20,1,9,1,0,1,1,0,0,0,1.3,1.3,0.1,1.3,0.1,1.3,-0.3,-0.3,-0.1,0.08,16,0.06,0.33,3,18.8,11.3,0,16,0.06,0.33,3,18.8,11.3,0,564,714,79.0,3,35,1,0,31,12679,4963,121,137,88.3,334,370,90.3,101,175,57.7,13,9,0,0,4,0,0,1,1,0,0,0,0,0,427,2147,1225,6,5,0,8,2,545,3,545,3,427,2147,1225,6,5,0,8,2,923,150,578,300,49,28,923,DF,8fd083bb
83,Peter Agba,21,6,282,3.1,3,3,2,1,0,1,1,0,0,0,0.3,0.3,0.0,0.3,0.1,0.3,+0.7,+0.7,0.0,0.05,5,0.20,1.00,1,20.0,24.9,0,5,0.20,1.00,1,20.0,24.9,0,149,173,86.1,1,12,1,0,11,2697,443,55,62,88.7,70,78,89.7,14,16,87.5,6,4,1,1,0,0,0,0,0,0,0,0,0,0,123,767,278,6,3,0,5,2,133,6,133,6,123,767,278,6,3,0,5,2,208,4,38,145,28,1,208,MF,8ca5eb4a
84,Emmanuel Agbadou,27,33,2932,32.6,33,0,0,1,0,1,1,0,0,0,1.4,1.4,0.5,0.8,0.7,1.9,-0.4,-0.4,-0.5,0.06,22,0.05,0.20,5,22.7,28.4,2,22,0.05,0.20,5,22.7,28.4,2,1665,1923,86.6,12,111,5,1,108,33865,13165,569,615,92.5,866,918,94.3,217,355,61.1,38,34,2,1,1,0,0,4,3,1,0,0,0,0,1379,7083,3726,16,13,0,15,10,1497,2,1497,2,1379,7083,3726,16,13,0,15,10,2252,368,1214,978,73,11,2252,DF,75f1ed80
85,Asher Agbinone,18,8,335,3.7,5,3,15,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.02,10,0.00,0.00,3,30.0,26.3,0,10,0.00,0.00,3,30.0,26.3,0,2,3,66.7,1,0,0,0,0,32,0,1,1,100.0,1,2,50.0,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,53,23,2,0,0,0,1,5,1,5,1,5,53,23,2,0,0,0,1,8,0,0,2,6,0,8,MFFW,6a10efb3
86,Jeremy Agbonifo,18,8,300,3.3,1,7,3,1,0,1,1,0,0,0,0.7,0.7,0.2,0.9,0.4,0.9,+0.3,+0.3,-0.2,0.11,6,0.17,0.25,4,66.7,14.1,0,6,0.17,0.25,4,66.7,14.1,0,58,80,72.5,3,4,4,2,6,743,182,37,43,86.0,18,24,75.0,1,4,25.0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,84,627,283,13,2,10,11,6,92,36,92,36,84,627,283,13,2,10,11,6,131,1,22,39,72,16,131,FWMF,3d6aaa54
87,Erlingur Agnarsson,26,6,467,5.2,6,0,0,0,2,2,0,0,0,0,0.2,0.2,0.8,1.0,0.3,1.0,-0.2,-0.2,+1.2,0.08,2,0.00,,0,0.0,12.3,0,2,0.00,,0,0.0,12.3,0,67,105,63.8,2,5,5,0,10,905,239,39,51,76.5,19,31,61.3,3,6,50.0,8,7,0,0,1,0,0,5,4,0,0,1,0,0,85,421,195,7,7,2,14,4,93,34,93,34,85,421,195,7,7,2,14,4,157,6,19,61,79,14,157,MFFW,2eb9a3bb
88,Lucien Agoume,22,37,2287,25.4,26,11,2,1,3,4,1,0,0,0,0.9,0.9,2.5,,1.6,3.3,+0.1,+0.1,+0.5,0.09,10,0.10,0.50,2,20.0,15.0,0,10,0.10,0.50,2,20.0,15.0,0,1007,1236,81.5,27,126,19,3,135,15958,5460,545,601,90.7,357,425,84.0,79,142,55.6,60,57,0,1,1,0,1,5,4,0,0,1,0,0,689,3227,1597,29,23,2,26,13,928,23,928,23,689,3227,1597,29,23,2,26,13,1481,65,386,867,248,19,1481,MF,8bc8829a
89,Salvador Agra,32,32,2731,30.3,31,1,0,1,2,3,1,0,0,0,1.4,1.4,4.1,5.5,3.8,5.5,-0.4,-0.4,-2.1,0.04,33,0.03,0.14,7,21.2,25.5,5,33,0.03,0.14,7,21.2,25.5,5,688,1014,67.9,53,54,28,17,73,11971,3935,319,385,82.9,276,373,74.0,76,189,40.2,86,58,25,1,0,2,0,3,2,1,0,0,0,0,638,3428,1694,56,41,11,51,30,730,147,730,147,638,3428,1694,56,41,11,51,30,1236,20,217,550,480,38,1236,MFDF,a130741a
90,Felix Agu,24,25,1843,20.5,22,3,2,3,0,3,3,0,0,0,1.4,1.4,1.8,3.2,2.5,3.2,+1.6,+1.6,-1.8,0.15,10,0.30,0.60,5,50.0,13.3,0,10,0.30,0.60,5,50.0,13.3,0,655,822,79.7,20,36,22,12,43,10350,3456,336,379,88.7,244,298,81.9,50,81,61.7,35,30,1,2,0,2,0,1,1,0,0,0,0,0,545,2589,1278,33,12,8,33,12,605,105,605,105,545,2589,1278,33,12,8,33,12,1045,48,315,465,270,37,1045,DF,cb6d81b3
91,Álvaro Aguado,28,18,603,6.7,6,12,20,0,1,1,0,0,0,0,0.6,0.6,0.6,,0.4,1.2,-0.6,-0.6,+0.4,0.06,17,0.00,0.00,5,29.4,23.0,1,17,0.00,0.00,5,29.4,23.0,1,193,248,77.8,4,31,8,3,37,3748,1187,63,81,77.8,99,116,85.3,28,40,70.0,16,13,1,1,1,0,0,1,1,0,0,0,0,0,175,1443,753,15,10,4,9,4,189,4,189,4,175,1443,753,15,10,4,9,4,303,7,68,161,78,6,303,MF,014aa7bd
92,Lorenzo Aguado,21,3,67,0.7,1,2,12,0,0,0,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,1,0.00,,0,0.0,,0,1,0.00,,0,0.0,,0,1,1,100.0,0,0,0,0,0,34,0,0,0,,0,0,,1,1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,1,3,0,3,0,0,0,3,DF,beae81e1
93,Sergio Aguayo,21,6,162,1.8,0,6,2,1,0,1,1,0,0,0,0.6,0.6,0.5,1.1,0.0,1.1,+0.4,+0.4,-0.5,0.09,7,0.14,0.50,2,28.6,13.3,0,7,0.14,0.50,2,28.6,13.3,0,26,38,68.4,2,2,1,0,3,346,42,19,23,82.6,4,7,57.1,2,2,100.0,4,3,0,0,0,1,0,0,0,0,0,0,0,0,38,183,60,2,1,0,6,4,52,10,52,10,38,183,60,2,1,0,6,4,65,2,5,25,37,11,65,FW,3c285ef0
94,Nayef Aguerd,28,36,2922,32.5,34,2,4,0,0,0,0,0,0,0,2.6,2.6,0.2,,0.3,2.8,-2.6,-2.6,-0.2,0.12,23,0.00,0.00,5,21.7,13.5,1,23,0.00,0.00,5,21.7,13.5,1,1725,1975,87.3,6,115,4,1,108,33635,11869,627,666,94.1,880,942,93.4,199,317,62.8,21,17,1,0,3,0,0,2,1,0,0,1,0,0,1434,8270,4877,26,24,0,11,5,1619,3,1619,3,1434,8270,4877,26,24,0,11,5,2283,198,1034,1176,76,24,2283,DF,288e1e13
95,Eduardo Águila,22,31,2701,30.0,30,1,2,0,0,0,0,0,0,0,1.1,1.1,0.1,1.2,0.3,1.2,-1.1,-1.1,-0.1,0.06,18,0.00,0.00,5,27.8,16.1,0,18,0.00,0.00,5,27.8,16.1,0,1351,1556,86.8,2,59,2,0,64,27145,9985,372,405,91.9,814,867,93.9,149,251,59.4,19,13,0,1,3,0,2,3,2,0,0,1,0,0,1028,4764,2240,14,7,3,15,10,1254,2,1254,2,1028,4764,2240,14,7,3,15,10,1857,285,1106,724,37,22,1857,DF,723496a4
