Rk,Player,Age,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,xG,npxG,xAG,xG+xAG,xA,npxG+xAG,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Rec,PrgR,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Pos,-
11,Rodrigo Abascal,30,29,2599,28.9,29,0,0,0,0,0,0,0,0,0,0.8,0.8,1.7,2.5,1.5,2.5,-0.8,-0.8,-1.7,0.04,19,0.00,0.00,5,26.3,24.0,2,19,0.00,0.00,5,26.3,24.0,2,904,1286,70.3,17,84,15,6,66,21266,11349,216,246,87.8,476,578,82.4,207,440,47.0,48,29,16,1,2,0,0,1,1,0,0,0,0,0,744,3182,1552,10,6,0,13,4,813,24,813,24,744,3182,1552,10,6,0,13,4,1607,222,849,589,179,23,1607,DF,088ae0d1
12,Nelson Abbey,20,9,692,7.7,8,1,21,0,0,0,0,0,0,0,0.1,0.1,0.1,,0.1,0.2,-0.1,-0.1,-0.1,0.03,3,0.00,,0,0.0,19.8,0,3,0.00,,0,0.0,19.8,0,279,366,76.2,2,9,3,2,14,4917,1600,115,130,88.5,146,169,86.4,15,49,30.6,4,3,1,0,0,0,0,0,0,0,0,0,0,0,229,1220,574,7,7,1,8,5,253,7,253,7,229,1220,574,7,7,1,8,5,460,52,223,196,44,3,460,DF,33f40a36
13,Keyliane Abdallah,18,1,3,0.0,0,1,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,2,2,100.0,0,0,0,0,0,41,0,0,0,,2,2,100.0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,1,0,0,1,0,3,0,3,0,1,10,9,1,0,0,1,0,4,0,3,1,0,0,4,FW,7310786d
14,Yunis Abdelhamid,36,17,1123,12.5,12,5,17,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.3,0.4,-0.2,-0.2,-0.1,0.12,2,0.00,0.00,1,50.0,10.8,0,2,0.00,0.00,1,50.0,10.8,0,438,505,86.7,2,28,0,0,22,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,6,5,1,0,0,0,0,0,0,0,0,0,0,0,322,1732,837,4,1,0,8,3,393,3,393,3,322,1732,837,4,1,0,8,3,641,127,414,215,14,7,641,DF,32c2d95f
15,Himad Abdelli,24,36,3108,34.5,34,2,0,6,1,7,3,3,4,1,6.4,3.2,3.2,9.5,3.7,6.4,-0.4,-0.2,-2.2,0.09,35,0.09,0.38,8,22.9,22.6,0,35,0.09,0.38,8,22.9,22.6,0,1373,1672,82.1,39,171,38,3,207,21646,6031,710,807,88.0,531,612,86.8,82,151,54.3,94,80,2,5,1,3,3,5,3,0,2,0,0,0,1183,7595,4388,107,90,17,55,51,1446,111,1446,111,1183,7595,4388,107,90,17,55,51,1993,38,293,1149,597,49,1989,MFFW,7978cbf0
16,Mohamed Abdelmoneim,25,18,1395,15.5,16,2,14,0,0,0,0,0,0,0,0.1,0.1,0.1,0.0,0.3,0.2,-0.1,-0.1,-0.1,0.04,3,0.00,,0,0.0,10.3,0,3,0.00,,0,0.0,10.3,0,751,824,91.1,3,54,1,0,72,13152,4384,314,330,95.2,384,410,93.7,43,64,67.2,13,12,0,1,0,0,0,0,0,0,0,0,0,0,591,2732,1595,10,10,0,4,3,618,6,618,6,591,2732,1595,10,10,0,4,3,983,97,405,506,75,6,983,DF,bff15d74
17,Bilal Abdelrahman Zeeni,21,11,367,4.1,2,9,3,0,0,0,0,0,0,0,0.0,0.0,0.1,,0.1,0.1,0.0,0.0,-0.1,0.02,1,0.00,0.00,1,100.0,25.2,0,1,0.00,0.00,1,100.0,25.2,0,2,3,66.7,2,0,1,0,1,30,12,1,1,100.0,1,2,50.0,0,0,,3,2,0,0,0,0,1,0,0,0,0,0,0,0,4,13,5,0,0,0,0,0,4,1,4,1,4,13,5,0,0,0,0,0,6,1,1,1,4,1,6,MFFW,baa6cdf7
18,Ali Abdi,30,33,1787,19.9,21,12,3,5,2,7,5,0,0,0,4.3,4.3,2.1,,2.0,6.4,+0.7,+0.7,-0.1,0.17,32,0.16,0.42,12,37.5,16.9,1,32,0.16,0.42,12,37.5,16.9,1,561,757,74.1,24,22,23,7,48,8782,2989,303,352,86.1,208,274,75.9,36,78,46.2,50,38,3,4,4,0,1,3,1,1,0,1,0,0,452,2213,1173,40,19,10,33,14,544,117,544,117,452,2213,1173,40,19,10,33,14,988,55,251,390,355,52,988,MF,ad7cdb35
19,Taha Abdi Ali,26,7,288,3.2,3,4,0,1,0,1,1,0,0,0,0.7,0.7,0.1,0.8,0.5,0.8,+0.3,+0.3,-0.1,0.08,9,0.11,0.33,3,33.3,15.5,0,9,0.11,0.33,3,33.3,15.5,0,89,122,73.0,2,2,5,1,10,1083,336,59,72,81.9,21,25,84.0,2,3,66.7,13,8,0,3,2,0,0,0,0,0,0,0,0,0,114,775,384,17,13,9,10,6,130,34,130,34,114,775,384,17,13,9,10,6,174,3,34,49,95,23,174,FW,da4b8a4e
20,Salis Abdul Samed,24,11,325,3.6,3,8,4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,,0,,,0,,,0,0,,,0,,,0,145,162,89.5,1,14,0,0,15,2464,511,53,59,89.8,75,77,97.4,9,12,75.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,106,607,265,5,5,0,2,0,129,10,129,10,106,607,265,5,5,0,2,0,183,6,33,112,41,2,183,MF,82464ce3
